s,Zeta Real,Zeta Imag
0.5+1013.1j,-0.13598332300024163,0.09556192867529616
0.5+1013.2j,-0.3964682891180757,0.4801899862158448
0.5+1013.3j,-0.4765376415705812,1.0301099852236917
0.5+1013.4j,-0.29592630935107705,1.6438998422994735
0.5+1013.5j,0.167174118439339,2.1875376591549953
0.5+1013.6j,0.8659197327044197,2.5268009800790883
0.5+1013.7j,1.6914909909502762,2.560912369001473
0.5+1013.8j,2.495160801682464,2.2493305343815346
0.5+1013.9j,3.1208126704724837,1.6253094738214042
0.5+1014j,3.440704988482702,0.7927738982455642
0.5+1014.1j,3.386450380235631,-0.09341321795559217
0.5+1014.2j,2.967865260326499,-0.8601109688895603
0.5+1014.3j,2.274558544844863,-1.3546702991352106
0.5+1014.4j,1.4587240247887203,-1.4809878563776058
0.5+1014.5j,0.7020609815434871,-1.2238620265561764
0.5+1014.6j,0.17406971996701762,-0.6548344723178274
0.5+1014.7j,-0.008160244965707044,0.0829720743534287
0.5+1014.8j,0.1917190349340614,0.8080074855122682
0.5+1014.9j,0.7205002578879477,1.3433739613463491
0.5+1015j,1.4486202369495813,1.5588435563480232
0.5+1015.1j,2.201900048649521,1.4010722635359878
0.5+1015.2j,2.8034593147161027,0.904616647400942
0.5+1015.3j,3.115102106251831,0.18165208894107973
0.5+1015.4j,3.068202149716654,-0.6062035574900271
0.5+1015.5j,2.67735374957207,-1.286442082050712
0.5+1015.6j,2.0345691662517216,-1.715250178299219
0.5+1015.7j,1.2862704878251559,-1.8092843334853825
0.5+1015.8j,0.5987916838142957,-1.5630410638999412
0.5+1015.9j,0.12015003138663696,-1.0484847915174997
0.5+1016j,-0.05359522231489597,-0.3972386401439374
0.5+1016.1j,0.10002775995461835,0.23079064043613723
0.5+1016.2j,0.5253866599165342,0.6854589751686923
0.5+1016.3j,1.1028321323056458,0.8623389901206926
0.5+1016.4j,1.6785010706876997,0.7277837003747958
0.5+1016.5j,2.102796373818369,0.3265219527475791
0.5+1016.6j,2.2678504198728833,-0.23053964897776025
0.5+1016.7j,2.13417908087882,-0.7953720222111904
0.5+1016.8j,1.7394871334463609,-1.2211097334354548
0.5+1016.9j,1.1874826201524686,-1.399373031429518
0.5+1017j,0.6200712254343899,-1.2868525815309564
0.5+1017.1j,0.18068253059733633,-0.9146100913072733
0.5+1017.2j,-0.021554357522464634,-0.3784378547597442
0.5+1017.3j,0.06211517726174705,0.18641526628729427
0.5+1017.4j,0.4096096995351692,0.6392023030476477
0.5+1017.5j,0.9348785882356365,0.8678099326848622
0.5+1017.6j,1.5097252153381113,0.815100528350075
0.5+1017.7j,1.995035593456514,0.4916908749443719
0.5+1017.8j,2.274039999215352,-0.02742043485845338
0.5+1017.9j,2.279933205761419,-0.6213981969734013
0.5+1018j,2.0114149458234514,-1.1529328790002291
0.5+1018.1j,1.532369169414073,-1.5014831296429176
0.5+1018.2j,0.9556022841058427,-1.5923153894609021
0.5+1018.3j,0.4145565627813082,-1.4140420695618288
0.5+1018.4j,0.030150553205744966,-1.0201359624337374
0.5+1018.5j,-0.11867033594658855,-0.5140826163656294
0.5+1018.6j,-0.013054878831941705,-0.022257941849797527
0.5+1018.7j,0.30340567885634095,0.33808829237336946
0.5+1018.8j,0.7381358596135487,0.48724689053412973
0.5+1018.9j,1.1746279568556048,0.400719172295402
0.5+1019j,1.502072316018443,0.11226439189243682
0.5+1019.1j,1.6418805556639484,-0.2975118559004706
0.5+1019.2j,1.564807864838661,-0.7232688961618031
0.5+1019.3j,1.2951706217675596,-1.0617072595567085
0.5+1019.4j,0.9019527271536892,-1.2363539278124591
0.5+1019.5j,0.47960983527791456,-1.2146020454031703
0.5+1019.6j,0.1235793006497613,-1.0132959063759348
